what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312503907485
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312503907771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312503923613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504313933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504317302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504447290
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312504460366
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312504460386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504466693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504468598
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.navigate.openResource",1312504468673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1312504473839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312504483716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312504485228
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312504485532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312504488643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504507837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504540713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504541924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504857263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312504880756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504898077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312504980281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312504987075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312505003524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505006352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505024843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505030789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505041569
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312505049716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505062845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505207702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1312505217709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312505218928
